Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
95,Exit long,2026-03-23 11:00,TP1,70097.3,0.001356,111.4478772,-16.48,-14.79,21.29,19.10,-30.35,-27.27,-231.2,-2.31
95,Entry long,2025-11-21 09:00,L17,82188.7,0.001356,111.4478772,-16.48,-14.79,21.29,19.10,-30.35,-27.27,-231.2,-2.31
96,Exit long,2026-03-31 17:00,TP1,67493.9,0.000281,23.0950247,-4.14,-17.95,4.41,19.10,-6.29,-27.27,-235.53,-2.36
96,Entry long,2025-11-21 09:00,L17,82188.7,0.000281,23.0950247,-4.14,-17.95,4.41,19.10,-6.29,-27.27,-235.53,-2.36
97,Exit long,2026-03-31 17:00,TP1,67493.9,0.001096,93.9964672,-20.08,-21.37,13.29,14.14,-28.44,-30.30,-255.57,-2.56
97,Entry long,2025-12-15 20:00,L18,85763.2,0.001096,93.9964672,-20.08,-21.37,13.29,14.14,-28.44,-30.30,-255.57,-2.56
98,Exit long,2026-04-07 22:00,TP2,71479.9,0.001377,118.0959264,-19.76,-16.73,16.7,14.14,-35.73,-30.30,-275.28,-2.75
98,Entry long,2025-12-15 20:00,L18,85763.2,0.001377,118.0959264,-19.76,-16.73,16.7,14.14,-35.73,-30.30,-275.28,-2.75
99,Exit long,2026-04-07 23:00,TP2,71890.2,0.001377,118.0959264,-19.2,-16.25,16.7,14.14,-35.73,-30.30,-294.43,-2.94
99,Entry long,2025-12-15 20:00,L18,85763.2,0.001377,118.0959264,-19.2,-16.25,16.7,14.14,-35.73,-30.30,-294.43,-2.94
100,Exit long,2026-04-08 00:00,TP2,71681.9,0.001377,118.0959264,-19.48,-16.49,16.7,14.14,-35.73,-30.30,-313.86,-3.14
100,Entry long,2025-12-15 20:00,L18,85763.2,0.001377,118.0959264,-19.48,-16.49,16.7,14.14,-35.73,-30.30,-313.86,-3.14
101,Exit long,2026-04-08 01:00,TP2,71446.5,0.000515,44.168048,-7.41,-16.76,6.24,14.14,-13.36,-30.30,-321.25,-3.21
101,Entry long,2025-12-15 20:00,L18,85763.2,0.000515,44.168048,-7.41,-16.76,6.24,14.14,-13.36,-30.30,-321.25,-3.21
102,Exit long,2026-04-08 01:00,TP2,71446.5,0.000862,77.8574778,-16.33,-20.97,0.72,0.92,-26.29,-33.82,-337.54,-3.38
102,Entry long,2026-01-21 19:00,L19,90321.9,0.000862,77.8574778,-16.33,-20.97,0.72,0.92,-26.29,-33.82,-337.54,-3.38
103,Exit long,2026-04-09 22:00,TP2,71911.2,0.001356,122.4764964,-25.06,-20.45,1.13,0.92,-41.36,-33.82,-362.55,-3.63
103,Entry long,2026-01-21 19:00,L19,90321.9,0.001356,122.4764964,-25.06,-20.45,1.13,0.92,-41.36,-33.82,-362.55,-3.63
104,Exit long,2026-04-10 14:00,TP2,72870.6,0.001356,122.4764964,-23.76,-19.39,1.13,0.92,-41.36,-33.82,-386.26,-3.86
104,Entry long,2026-01-21 19:00,L19,90321.9,0.001356,122.4764964,-23.76,-19.39,1.13,0.92,-41.36,-33.82,-386.26,-3.86
105,Exit long,2026-04-10 15:00,TP2,72421,0.001356,122.4764964,-24.37,-19.89,1.13,0.92,-41.36,-33.82,-410.57,-4.11
105,Entry long,2026-01-21 19:00,L19,90321.9,0.001356,122.4764964,-24.37,-19.89,1.13,0.92,-41.36,-33.82,-410.57,-4.11
106,Exit long,2026-04-10 17:00,TP2,73079.9,0.000793,71.6252667,-13.73,-19.16,0.66,0.92,-24.19,-33.82,-424.27,-4.24
106,Entry long,2026-01-21 19:00,L19,90321.9,0.000793,71.6252667,-13.73,-19.16,0.66,0.92,-24.19,-33.82,-424.27,-4.24
107,Exit long,2026-04-10 17:00,TP2,73079.9,0.000563,48.7661029,-7.66,-15.70,2.21,4.54,-15.09,-30.99,-431.91,-4.32
107,Entry long,2026-01-25 20:00,L20,86618.3,0.000563,48.7661029,-7.66,-15.70,2.21,4.54,-15.09,-30.99,-431.91,-4.32
108,Exit long,2026-04-22 13:00,TP1,78794.5,0.001259,109.0524397,-9.94,-9.11,4.95,4.54,-33.75,-30.99,-441.81,-4.42
108,Entry long,2026-01-25 20:00,L20,86618.3,0.001259,109.0524397,-9.94,-9.11,4.95,4.54,-33.75,-30.99,-441.81,-4.42
109,Exit long,2026-05-04 02:00,TP1,80136.6,0.001248,108.0996384,-8.18,-7.56,4.91,4.54,-33.45,-30.99,-449.94,-4.50
109,Entry long,2026-01-25 20:00,L20,86618.3,0.001248,108.0996384,-8.18,-7.56,4.91,4.54,-33.45,-30.99,-449.94,-4.50
110,Exit long,2026-05-06 08:00,TP2,81903.6,0.001259,109.0524397,-6.03,-5.52,4.95,4.54,-33.75,-30.99,-455.92,-4.56
110,Entry long,2026-01-25 20:00,L20,86618.3,0.001259,109.0524397,-6.03,-5.52,4.95,4.54,-33.75,-30.99,-455.92,-4.56
111,Exit long,2026-05-06 09:00,TP2,81959.3,0.001259,109.0524397,-5.96,-5.46,4.95,4.54,-33.75,-30.99,-461.83,-4.62
111,Entry long,2026-01-25 20:00,L20,86618.3,0.001259,109.0524397,-5.96,-5.46,4.95,4.54,-33.75,-30.99,-461.83,-4.62
112,Exit long,2026-05-06 10:00,TP2,82242.1,0.000206,17.8433698,-0.92,-5.13,0.81,4.54,-5.52,-30.99,-462.74,-4.63
112,Entry long,2026-01-25 20:00,L20,86618.3,0.000206,17.8433698,-0.92,-5.13,0.81,4.54,-5.52,-30.99,-462.74,-4.63
113,Exit long,2026-05-06 10:00,TP2,82242.1,0.001053,87.8632677,-1.34,-1.52,1.29,1.47,-24.88,-28.36,-464.04,-4.64
113,Entry long,2026-01-29 18:00,L21,83440.9,0.001053,87.8632677,-1.34,-1.52,1.29,1.47,-24.88,-28.36,-464.04,-4.64
114,Exit long,2026-05-06 11:00,TP2,82485.4,0.001259,105.0520931,-1.29,-1.23,1.54,1.47,-29.75,-28.36,-465.28,-4.65
114,Entry long,2026-01-29 18:00,L21,83440.9,0.001259,105.0520931,-1.29,-1.23,1.54,1.47,-29.75,-28.36,-465.28,-4.65
115,Exit long,2026-05-22 11:00,Open,77375,0.003575,298.3012175,-21.91,-7.35,4.37,1.47,-84.48,-28.36,-487.62,-4.88
115,Entry long,2026-01-29 18:00,L21,83440.9,0.003575,298.3012175,-21.91,-7.35,4.37,1.47,-84.48,-28.36,-487.62,-4.88
116,Exit long,2026-05-22 11:00,Open,77375,0.006244,486.7616348,-4.05,-0.83,30.21,6.20,-113.37,-23.32,-469.75,-4.70
116,Entry long,2026-01-31 20:00,L22,77956.7,0.006244,486.7616348,-4.05,-0.83,30.21,6.20,-113.37,-23.32,-469.75,-4.70
117,Exit long,2026-05-22 11:00,Open,77375,0.006297,479.8307703,6.98,1.45,41.53,8.65,-103.28,-21.56,-458.73,-4.59
117,Entry long,2026-02-03 21:00,L23,76199.9,0.006297,479.8307703,6.98,1.45,41.53,8.65,-103.28,-21.56,-458.73,-4.59
118,Exit long,2026-05-22 11:00,Open,77375,0.00689,439.243701,93.37,21.27,131.25,29.87,-27.36,-6.24,-372.34,-3.72
118,Entry long,2026-02-05 20:00,L24,63750.9,0.00689,439.243701,93.37,21.27,131.25,29.87,-27.36,-6.24,-372.34,-3.72
119,Exit long,2026-05-22 11:00,Open,77375,0.00703,454.800929,88.64,19.50,127.28,27.98,-16.31,-3.59,-377.07,-3.77
119,Entry long,2026-02-23 22:00,L25,64694.3,0.00703,454.800929,88.64,19.50,127.28,27.98,-16.31,-3.59,-377.07,-3.77
120,Exit long,2026-05-22 11:00,Open,77375,0.006781,459.9592986,64.24,13.97,101.5,22.06,-19.93,-4.33,-401.47,-4.01
120,Entry long,2026-03-22 23:00,L26,67830.6,0.006781,459.9592986,64.24,13.97,101.5,22.06,-19.93,-4.33,-401.47,-4.01
121,Exit long,2026-05-22 11:00,Open,77375,0.006887,455.6019093,76.79,16.86,114.64,25.15,-8.7,-1.91,-388.92,-3.89
121,Entry long,2026-03-27 13:00,L27,66153.9,0.006887,455.6019093,76.79,16.86,114.64,25.15,-8.7,-1.91,-388.92,-3.89
122,Exit long,2026-05-22 11:00,Open,77375,0.006296,491.4160216,-4.68,-0.95,3.01,0.61,-13.04,-2.65,-470.39,-4.70
122,Entry long,2026-05-16 09:00,L28,78052.1,0.006296,491.4160216,-4.68,-0.95,3.01,0.61,-13.04,-2.65,-470.39,-4.70
123,Exit long,2026-05-22 11:00,Open,77375,0.006363,490.4886735,1.42,0.29,6.75,1.38,-7.02,-1.43,-464.28,-4.64
123,Entry long,2026-05-18 01:00,L29,77084.5,0.006363,490.4886735,1.42,0.29,6.75,1.38,-7.02,-1.43,-464.28,-4.64
