Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
19,Entry long,2025-07-25 06:00,L4,115255.3,0.000868,100.0416004,3.23,3.23,3.69,3.68,-0.55,-0.55,106.27,1.06
20,Exit long,2025-08-07 19:00,TP1,117407.6,0.000887,102.2314511,1.82,1.78,4,3.91,-3.06,-3.00,107.92,1.08
20,Entry long,2025-07-25 06:00,L4,115255.3,0.000887,102.2314511,1.82,1.78,4,3.91,-3.06,-3.00,107.92,1.08
21,Exit long,2025-08-11 02:00,TP2,121837.5,0.000887,102.2314511,5.75,5.62,5.83,5.70,-3.06,-3.00,113.71,1.14
21,Entry long,2025-07-25 06:00,L4,115255.3,0.000887,102.2314511,5.75,5.62,5.83,5.70,-3.06,-3.00,113.71,1.14
22,Exit long,2025-08-11 03:00,TP2,121700.1,0.000887,102.2314511,5.63,5.50,6.09,5.95,-3.06,-3.00,119.38,1.19
22,Entry long,2025-07-25 06:00,L4,115255.3,0.000887,102.2314511,5.63,5.50,6.09,5.95,-3.06,-3.00,119.38,1.19
23,Exit long,2025-08-11 04:00,TP2,122069.7,0.000845,97.3907285,5.67,5.82,6.04,6.20,-2.92,-3.00,125.09,1.25
23,Entry long,2025-07-25 06:00,L4,115255.3,0.000845,97.3907285,5.67,5.82,6.04,6.20,-2.92,-3.00,125.09,1.25
24,Exit long,2025-08-11 04:00,TP2,122069.7,0.000042,4.7496204,0.37,7.85,0.39,8.23,-0.05,-1.14,125.47,1.25
24,Entry long,2025-08-01 22:00,L5,113086.2,0.000042,4.7496204,0.37,7.85,0.39,8.23,-0.05,-1.14,125.47,1.25
25,Exit long,2025-08-11 05:00,TP2,122042.3,0.000887,100.3074594,7.86,7.83,8.26,8.23,-1.14,-1.14,133.37,1.33
25,Entry long,2025-08-01 22:00,L5,113086.2,0.000887,100.3074594,7.86,7.83,8.26,8.23,-1.14,-1.14,133.37,1.33
26,Exit long,2025-08-13 22:00,TP2,122965.2,0.000874,98.8373388,8.54,8.64,9.21,9.32,-1.12,-1.14,141.95,1.42
26,Entry long,2025-08-01 22:00,L5,113086.2,0.000874,98.8373388,8.54,8.64,9.21,9.32,-1.12,-1.14,141.95,1.42
27,Exit long,2025-08-13 23:00,TP2,123323.9,0.000874,98.8373388,8.86,8.96,9.25,9.35,-1.12,-1.14,150.85,1.51
27,Entry long,2025-08-01 22:00,L5,113086.2,0.000874,98.8373388,8.86,8.96,9.25,9.35,-1.12,-1.14,150.85,1.51
28,Exit long,2025-08-14 00:00,TP2,123871.1,0.000874,98.8373388,9.34,9.44,9.98,10.09,-1.12,-1.14,160.24,1.60
28,Entry long,2025-08-01 22:00,L5,113086.2,0.000874,98.8373388,9.34,9.44,9.98,10.09,-1.12,-1.14,160.24,1.60
29,Exit long,2025-08-14 01:00,TP2,123367.8,0.000874,98.8373388,8.9,9.00,9.98,10.09,-1.12,-1.14,169.18,1.69
29,Entry long,2025-08-01 22:00,L5,113086.2,0.000874,98.8373388,8.9,9.00,9.98,10.09,-1.12,-1.14,169.18,1.69
30,Exit long,2025-08-22 14:00,TP1,115744.5,0.00001,1.130862,0.03,2.26,0.11,10.09,-0.02,-1.33,168.99,1.69
30,Entry long,2025-08-01 22:00,L5,113086.2,0.00001,1.130862,0.03,2.26,0.11,10.09,-0.02,-1.33,168.99,1.69
31,Exit long,2025-08-22 14:00,TP1,115744.5,0.000893,100.1524504,3.12,3.11,3.48,3.47,-0.51,-0.51,172.15,1.72
31,Entry long,2025-08-21 19:00,L6,112152.8,0.000893,100.1524504,3.12,3.11,3.48,3.47,-0.51,-0.51,172.15,1.72
32,Exit long,2025-08-28 13:00,TP1,112787.1,0.000923,103.5170344,0.5,0.48,4.79,4.63,-3.36,-3.25,172.47,1.72
32,Entry long,2025-08-21 19:00,L6,112152.8,0.000923,103.5170344,0.5,0.48,4.79,4.63,-3.36,-3.25,172.47,1.72
33,Exit long,2025-09-02 14:00,TP1,111308.5,0.000937,105.0871736,-0.88,-0.84,4.87,4.63,-4.68,-4.45,171.42,1.71
33,Entry long,2025-08-21 19:00,L6,112152.8,0.000937,105.0871736,-0.88,-0.84,4.87,4.63,-4.68,-4.45,171.42,1.71
34,Exit long,2025-09-12 00:00,TP2,115795.1,0.000937,105.0871736,3.32,3.16,4.87,4.63,-4.68,-4.45,174.79,1.75
34,Entry long,2025-08-21 19:00,L6,112152.8,0.000937,105.0871736,3.32,3.16,4.87,4.63,-4.68,-4.45,174.79,1.75
35,Exit long,2025-09-12 01:00,TP2,115329.5,0.000827,92.7503656,2.55,2.74,4.3,4.63,-4.13,-4.45,177.37,1.77
35,Entry long,2025-08-21 19:00,L6,112152.8,0.000827,92.7503656,2.55,2.74,4.3,4.63,-4.13,-4.45,177.37,1.77
36,Exit long,2025-09-12 01:00,TP2,115329.5,0.00011,12.10704,0.57,4.69,0.68,5.60,-0.32,-2.63,177.95,1.78
36,Entry long,2025-08-25 23:00,L7,110064,0.00011,12.10704,0.57,4.69,0.68,5.60,-0.32,-2.63,177.95,1.78
37,Exit long,2025-09-12 18:00,TP2,116423.9,0.000937,103.129968,5.87,5.69,5.94,5.75,-2.72,-2.63,183.86,1.84
37,Entry long,2025-08-25 23:00,L7,110064,0.000937,103.129968,5.87,5.69,5.94,5.75,-2.72,-2.63,183.86,1.84
38,Exit long,2025-09-12 19:00,TP2,116561.1,0.000937,103.129968,6,5.81,6.09,5.90,-2.72,-2.63,189.9,1.90
38,Entry long,2025-08-25 23:00,L7,110064,0.000937,103.129968,6,5.81,6.09,5.90,-2.72,-2.63,189.9,1.90
39,Exit long,2025-09-18 03:00,TP2,117531.2,0.000923,101.589072,6.8,6.69,7.16,7.04,-2.68,-2.63,196.75,1.97
39,Entry long,2025-08-25 23:00,L7,110064,0.000923,101.589072,6.8,6.69,7.16,7.04,-2.68,-2.63,196.75,1.97
40,Exit long,2025-09-18 18:00,TP2,117760,0.000923,101.589072,7.02,6.90,7.17,7.05,-2.68,-2.63,203.81,2.04
40,Entry long,2025-08-25 23:00,L7,110064,0.000923,101.589072,7.02,6.90,7.17,7.05,-2.68,-2.63,203.81,2.04
41,Exit long,2025-09-29 13:00,TP1,113168.2,0.000786,86.510304,2.37,2.73,6.1,7.05,-2.28,-2.63,205.77,2.06
41,Entry long,2025-08-25 23:00,L7,110064,0.000786,86.510304,2.37,2.73,6.1,7.05,-2.28,-2.63,205.77,2.06
42,Exit long,2025-09-29 13:00,TP1,113168.2,0.000146,15.8165304,0.69,4.37,1.39,8.76,-0.17,-1.08,206.47,2.06
42,Entry long,2025-08-29 23:00,L8,108332.4,0.000146,15.8165304,0.69,4.37,1.39,8.76,-0.17,-1.08,206.47,2.06
43,Exit long,2025-10-01 08:00,TP1,116060.5,0.000909,98.4741516,6.94,7.04,8.63,8.76,-1.06,-1.08,213.45,2.13
43,Entry long,2025-08-29 23:00,L8,108332.4,0.000909,98.4741516,6.94,7.04,8.63,8.76,-1.06,-1.08,213.45,2.13
44,Exit long,2025-10-01 14:00,TP2,117245.3,0.000932,100.9657968,8.22,8.13,8.85,8.76,-1.09,-1.08,221.71,2.22
44,Entry long,2025-08-29 23:00,L8,108332.4,0.000932,100.9657968,8.22,8.13,8.85,8.76,-1.09,-1.08,221.71,2.22
