Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
176,Entry short,2025-06-23 21:25,BEAR|3056.761|38.0266918663|1056.68278|2.8927896412|0.0124401914|1547.3938459331|1509.3671540669|69.5824757878|74.0195440555|516.3810236253|1050.9523159469|2058.9273539935|2.1970518551|227.4138534915|6.8508246213|15.4913851889|-16.8293378376|0.3883637571|2.0935220413|-0.8602189846|0|1|0|1,104034.7,1,104034.7,-3143.9,-3.02,463.3,0.45,-4215.2,-4.05,92278.8,0.09
177,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,105324.7,-1853.9,-1.76,753.9,0.72,-2925.2,-2.78,90424.9,0.09
177,Entry short,2025-06-23 22:40,BEAR|4586.556|-3984.7299069102|1204.36987|3.8082619918|0.8687847498|300.9130465449|4285.6429534551|69.9684461464|68.0062748095|1027.9974235205|1784.3498960464|3157.8954074466|171.0185706942|354.2355516521|-9.7228630963|-21.1572160247|117.3170630925|0.4247936261|-2.2476536661|0.1833095299|0|1|0|1,105324.7,1,105324.7,-1853.9,-1.76,753.9,0.72,-2925.2,-2.78,90424.9,0.09
178,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,105967.9,-1210.7,-1.14,753.9,0.71,-2282,-2.15,89214.2,0.09
178,Entry short,2025-06-24 17:10,BEAR|2304.852|-390.4394098362|577.00255|3.9945265407|0.1693989071|957.2062950819|1347.6457049181|71.6706608408|81.2301478035|525.8186785326|692.092789853|1183.6766874663|89.5163953318|206.10513983|14.8136573804|16.0172742171|87.5656443024|0.5969453012|3.4551227421|-0.6083788707|0|1|0|1,105967.9,1,105967.9,-1210.7,-1.14,753.9,0.71,-2282,-2.15,89214.2,0.09
179,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,106009,-1169.6,-1.10,61,0.06,-2240.9,-2.11,88044.6,0.09
179,Entry short,2025-06-25 01:25,BEAR|1908.392|-1737.5223250227|480.753215|3.9695875981|0.9104640582|85.4348374886|1822.9571625114|50.6756279174|44.3459124446|-16.2366539854|112.1837298273|567.2334611674|13.4679634404|177.7748114076|-8.016012144|-18.817114151|20.0654278236|-0.097197839|3.0315366379|0.0634328607|1|0|0|1,106009,1,106009,-1169.6,-1.10,61,0.06,-2240.9,-2.11,88044.6,0.09
180,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,106623.9,-554.7,-0.52,674.7,0.63,-1626,-1.52,87489.9,0.09
180,Entry short,2025-06-25 02:25,BEAR|904.951|-566.9978349875|493.9584|1.8320388923|0.6265508685|168.9765825062|735.9744174938|65.4345866144|70.6092796773|326.3428265678|509.3072970103|1021.0341817546|37.6605528233|179.057057301|7.4291800137|10.7721843289|29.7036178338|0.2928270082|1.5150775297|0.4403291247|0|1|0|1,106623.9,1,106623.9,-554.7,-0.52,674.7,0.63,-1626,-1.52,87489.9,0.09
181,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,106462.1,-716.5,-0.67,43.9,0.04,-1787.8,-1.68,86773.4,0.09
181,Entry short,2025-06-25 09:45,BEAR|1351.79|-876.0943557255|379.132985|3.5654771636|0.6480994502|237.8478221372|1113.9421778628|52.2058116824|43.4146906262|1.2383895543|130.8967958111|544.1222771448|15.6193735932|121.9683717527|-17.3132746407|-35.6519060578|-14.8338424996|-0.1651033511|1.2655060989|-0.0882641862|0|1|0|1,106462.1,1,106462.1,-716.5,-0.67,43.9,0.04,-1787.8,-1.68,86773.4,0.09
182,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,107010.6,-168,-0.16,310.6,0.29,-1239.3,-1.16,86605.4,0.09
182,Entry short,2025-06-25 12:05,BEAR|558.919|-96.4534502858|381.682745|1.4643549055|0.1725714286|231.2327748571|327.6862251429|63.0230404993|65.6426800053|166.0714121248|348.1360385748|870.0101807278|6.3927600015|115.1021993869|2.3618473766|3.0634320887|17.1680734861|0.0937067902|0.0031876879|-0.5299302618|0|1|0|1,107010.6,1,107010.6,-168,-0.16,310.6,0.29,-1239.3,-1.16,86605.4,0.09
183,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,107931.3,752.7,0.70,1231.3,1.14,-318.6,-0.30,87358.1,0.09
183,Entry short,2025-06-25 13:50,BEAR|3965.736|153.9598873721|463.865865|8.5493162986|0.0388225256|2059.8479436861|1905.8880563139|70.7283816798|72.8964293182|451.7182191761|716.0527549452|1351.5769653811|53.0828125235|179.7828716038|-7.3535455653|-15.8730507992|4.7997077463|0.089126477|-1.7989338027|-0.8232464399|0|1|0|1,107931.3,1,107931.3,752.7,0.70,1231.3,1.14,-318.6,-0.30,87358.1,0.09
184,Exit short,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,107686.9,508.3,0.47,986.9,0.92,-563,-0.52,87866.4,0.09
184,Entry short,2025-06-25 13:55,BEAR|3141.745|-260.9491562295|477.529445|6.5791649769|0.0830586684|1440.3979218852|1701.3470781148|73.3373549341|76.9190311356|522.7438356146|806.4369606336|1460.2015726907|57.3916157307|188.6126664892|-7.0094134565|-13.6876103382|-13.8147333143|0.08438396|-0.0883150681|-0.7585899216|0|1|0|1,107686.9,1,107686.9,508.3,0.47,986.9,0.92,-563,-0.52,87866.4,0.09
185,Exit long,2025-06-28 16:05,BEAR|1734.804|53.5075183948|135.431375|12.8094690023|0.0308435526|894.1557591974|840.6482408026|79.0906086452|90.4970352524|195.7221306171|201.8970654908|225.7714853521|23.4160689625|45.2016111344|25.2013289433|30.5924704745|17.8356998539|0.2069303956|12.0789935651|-0.9691564474|0|1|0|1,107401.7,1,107178.6,223.1,0.21,792.7,0.74,-865.5,-0.81,88089.5,0.09
185,Entry long,2025-06-26 12:40,BULL|1243.635|986.520854063|331.52088|3.7513021804|0.7932559425|1115.0779270315|128.5570729685|42.4384957473|42.5089854814|-83.698799554|-205.720219583|-296.4463503223|-1.2791731134|107.0448743674|-5.0124654608|-8.7604799954|-22.4830994729|-0.1170127166|2.7900773141|0.2688730406|1|0|1|0,107178.6,1,107178.6,223.1,0.21,792.7,0.74,-865.5,-0.81,88089.5,0.09
186,Exit long,2025-06-28 16:05,BEAR|1734.804|53.5075183948|135.431375|12.8094690023|0.0308435526|894.1557591974|840.6482408026|79.0906086452|90.4970352524|195.7221306171|201.8970654908|225.7714853521|23.4160689625|45.2016111344|25.2013289433|30.5924704745|17.8356998539|0.2069303956|12.0789935651|-0.9691564474|0|1|0|1,107401.7,1,106905.9,495.8,0.46,1065.4,1.00,-592.8,-0.55,88585.3,0.09
186,Entry long,2025-06-26 14:00,BULL|1798.889|141.1940878236|354.38139|5.0761384507|0.0784896054|970.0415439118|828.8474560882|35.816488942|30.2021479552|-219.2976523322|-338.7105888254|-504.068410728|-6.2066511076|148.41540634|-8.015704764|-16.4265775577|-1.1137335823|-0.18372017|4.3811705983|-0.4663095707|1|0|1|0,106905.9,1,106905.9,495.8,0.46,1065.4,1.00,-592.8,-0.55,88585.3,0.09
187,Exit long,2025-06-28 16:05,BEAR|1734.804|53.5075183948|135.431375|12.8094690023|0.0308435526|894.1557591974|840.6482408026|79.0906086452|90.4970352524|195.7221306171|201.8970654908|225.7714853521|23.4160689625|45.2016111344|25.2013289433|30.5924704745|17.8356998539|0.2069303956|12.0789935651|-0.9691564474|0|1|0|1,107401.7,1,106775.6,626.1,0.59,884.3,0.83,-462,-0.43,89211.4,0.09
187,Entry long,2025-06-27 14:00,BULL|1343.346|1249.0136541901|370.338|3.6273512305|0.9297780722|1296.179827095|47.166172905|41.6733056021|40.8358483587|-156.3923527681|-250.0509499059|-442.6187760877|-10.2515991056|157.5271390445|3.6112495709|7.3865675119|5.4626731877|-0.0411633378|2.642266178|0.9177876645|1|0|1|0,106775.6,1,106775.6,626.1,0.59,884.3,0.83,-462,-0.43,89211.4,0.09
188,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,107401.7,51.7,0.05,313.7,0.29,-1382.2,-1.29,89263.1,0.09
188,Entry short,2025-06-28 16:05,BEAR|1734.804|53.5075183948|135.431375|12.8094690023|0.0308435526|894.1557591974|840.6482408026|79.0906086452|90.4970352524|195.7221306171|201.8970654908|225.7714853521|23.4160689625|45.2016111344|25.2013289433|30.5924704745|17.8356998539|0.2069303956|12.0789935651|-0.9691564474|0|1|0|1,107401.7,1,107401.7,51.7,0.05,313.7,0.29,-1382.2,-1.29,89263.1,0.09
189,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,107626.9,276.9,0.26,538.9,0.50,-1157,-1.08,89540,0.09
189,Entry short,2025-06-29 09:10,BEAR|924.46|-526.460471464|119.953865|7.7067962754|0.5694789082|198.999764268|725.460235732|73.938696959|73.9380542059|152.6551570457|257.6548557189|357.3862025069|22.2589110469|55.2450842058|-1.9225897991|-6.2863870432|-0.1619489048|0.0546590318|2.7683479702|-0.3131121849|0|1|0|1,107626.9,1,107626.9,276.9,0.26,538.9,0.50,-1157,-1.08,89540,0.09
190,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,107870.4,520.4,0.48,782.4,0.73,-913.5,-0.85,90060.4,0.09
190,Entry short,2025-06-29 09:45,BEAR|589.911|-253.4223866349|131.36002|4.4907956013|0.4295942721|168.2443066826|421.6666933174|82.001046808|85.6597100325|234.8049292767|387.3781282463|549.711418503|19.8527099573|64.0017922993|4.9561805465|6.0292183752|3.1376901211|0.1485608171|2.8127136156|-0.5704057279|0|1|0|1,107870.4,1,107870.4,520.4,0.48,782.4,0.73,-913.5,-0.85,90060.4,0.09
191,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,107976,626,0.58,888,0.82,-807.9,-0.75,90686.4,0.09
191,Entry short,2025-06-29 10:05,BEAR|592.372|-140.1263168754|137.13792|4.3195346699|0.2365512159|226.1228415623|366.2491584377|70.6052164302|62.9394666972|141.7021578285|317.1111459353|518.9020298447|10.1633391449|66.2913288698|-12.6719545395|-25.1698615219|-9.7026802052|-0.0139986947|-8.0849629557|-0.3113467855|0|1|0|1,107976,1,107976,626,0.58,888,0.82,-807.9,-0.75,90686.4,0.09
192,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,108047.6,697.6,0.65,959.6,0.89,-736.3,-0.68,91384,0.09
192,Entry short,2025-06-29 10:35,BEAR|857.562|-705.8781513054|162.199055|5.2870961548|0.8231220032|75.8419243473|781.7200756527|68.7104132517|62.0584779923|207.5897859732|438.1453930976|718.9026368481|18.9001241343|89.2079072616|-8.1006727543|-13.4998748646|7.4101046419|0.1126175144|1.2219080915|-0.1768779968|0|1|0|1,108047.6,1,108047.6,697.6,0.65,959.6,0.89,-736.3,-0.68,91384,0.09
193,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,108207,857,0.79,1119,1.03,-576.9,-0.53,92241,0.09
193,Entry short,2025-06-29 12:10,BEAR|1603.109|-758.66513912|201.409135|7.9594651951|0.4732461356|422.22193044|1180.88706956|70.0991957925|71.7277518216|221.172488755|442.3470023684|861.9602805386|15.2150310692|95.0060412228|6.0091440284|7.4773894803|31.1380276999|0.2031336392|6.5149676494|0.1962090985|0|1|0|1,108207,1,108207,857,0.79,1119,1.03,-576.9,-0.53,92241,0.09
194,Exit short,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,108719.4,1369.4,1.26,1631.4,1.50,-30.3,-0.03,93610.4,0.09
194,Entry short,2025-06-30 00:45,BEAR|1416.418|-1138.6140197932|382.77411|3.7004017853|0.803868646|138.9019901034|1277.5160098966|68.784648044|70.3563336162|261.3727613786|535.5962087347|841.0629288496|12.0497987978|142.4404790688|2.9950940977|3.1298211655|20.1437810552|0.1763964566|2.9490674075|-0.1793809353|0|1|0|1,108719.4,1,108719.4,1369.4,1.26,1631.4,1.50,-30.3,-0.03,93610.4,0.09
195,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,107350,-280,-0.26,425,0.40,-2340,-2.18,93330.4,0.09
195,Entry long,2025-06-30 14:20,BULL|1687.883|1142.5553819073|392.483375|4.3005210093|0.676916221|1415.2191909537|272.6638090463|45.6838640332|47.4201517934|-78.8553735585|-134.9935169788|-314.989227367|-31.2397413674|153.271632367|5.5955936873|15.3560547139|-20.2443829964|-0.0332093023|2.3187730129|-0.323083779|1|0|1|0,107350,1,107350,-280,-0.26,425,0.40,-2340,-2.18,93330.4,0.09
196,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,107128.5,-58.5,-0.05,646.5,0.60,-2118.5,-1.98,93271.9,0.09
196,Entry long,2025-06-30 15:30,BULL|737.724|588.3833311979|437.199375|1.6873857608|0.797565663|663.053665599|74.670334401|35.4389862265|37.1057965593|-289.0877941374|-517.7446419765|-854.5860305849|-35.5925360227|175.8458442749|10.2999591399|20.1249992475|21.2684909676|0.0582590655|-5.582893023|0.1678944071|1|0|1|0,107128.5,1,107128.5,-58.5,-0.05,646.5,0.60,-2118.5,-1.98,93271.9,0.09
197,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,106858.2,211.8,0.20,288.1,0.27,-1848.2,-1.73,93483.7,0.09
197,Entry long,2025-07-01 07:30,BULL|904.041|902.0162721166|335.435375|2.695127191|0.9977603583|903.0286360583|1.0123639417|37.1739364467|31.6029538705|-162.7718094379|-250.4429229249|-540.1969551947|-3.1107069393|86.5014832726|-13.5395107966|-30.4756999915|-23.9082522711|-0.1854092903|2.2564223237|0.3965873378|1|0|1|0,106858.2,1,106858.2,211.8,0.20,288.1,0.27,-1848.2,-1.73,93483.7,0.09
198,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,106640.6,429.4,0.40,500.1,0.47,-1630.6,-1.53,93913.1,0.09
198,Entry long,2025-07-01 09:30,BULL|459.519|395.0742621951|246.97535|1.8605864917|0.8597560976|427.2966310976|32.2223689024|40.5316471157|37.6469890522|-102.3113930409|-176.7151495414|-449.3564150505|-18.1442291741|90.6152856756|2.6158184276|10.628607782|13.2521816125|-0.0055312846|1.0568019249|0.5803443329|1|0|1|0,106640.6,1,106640.6,429.4,0.40,500.1,0.47,-1630.6,-1.53,93913.1,0.09
199,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,106467.2,602.8,0.57,673.5,0.63,-1457.2,-1.37,94515.9,0.09
199,Entry long,2025-07-01 09:55,BULL|302.976|142.7242314051|251.869615|1.2029080999|0.4710743802|222.8501157025|80.1258842975|31.6087665707|22.674241537|-188.8992760312|-299.5283988043|-601.1485718003|-24.3405403016|82.3238346827|-8.9228805449|-14.9727475152|-6.1963111274|-0.1692291682|-0.6576783918|-0.3886817174|1|0|1|0,106467.2,1,106467.2,602.8,0.57,673.5,0.63,-1457.2,-1.37,94515.9,0.09
200,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,106334.8,735.2,0.69,805.9,0.76,-1324.8,-1.25,95251.1,0.10
200,Entry long,2025-07-01 10:40,BULL|447.262|32.5281454546|251.46727|1.7786092003|0.0727272727|239.8950727273|207.3669272727|34.0197326169|30.6641833367|-140.0753512408|-272.2447864386|-613.3451760965|-2.8501197803|78.6768961804|-8.3228600188|-19.0195749146|-1.7796306975|-0.146848803|1.02198568|-0.6749186783|1|0|1|0,106334.8,1,106334.8,735.2,0.69,805.9,0.76,-1324.8,-1.25,95251.1,0.10
201,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,106263.8,806.2,0.76,876.9,0.83,-1253.8,-1.18,96057.3,0.10
201,Entry long,2025-07-01 10:50,BULL|497.964|165.9880000001|254.153985|1.9593003824|0.3333333333|331.9760000001|165.9879999999|29.1873139125|21.8484038521|-190.5333481328|-334.3490704494|-689.1115199771|-9.5076222131|78.2504870127|-6.1042471564|-11.1673845717|-6.2702555565|-0.1240862611|0.7181541416|-0.2173515982|1|0|1|0,106263.8,1,106263.8,806.2,0.76,876.9,0.83,-1253.8,-1.18,96057.3,0.10
202,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,105390.3,1679.7,1.59,1715.7,1.63,-380.3,-0.36,97737,0.10
202,Entry long,2025-07-01 20:10,BULL|1796.279|957.520623967|507.14926|3.5419138736|0.5330578512|1376.8998119835|419.3791880165|33.3139015307|29.5217580691|-290.4605816313|-501.2070552685|-1038.8227554814|-17.6420637614|148.7428017054|-3.1099049172|-4.8981065808|-6.4233502802|-0.178545367|3.0651834212|-0.4669421488|1|0|1|0,105390.3,1,105390.3,1679.7,1.59,1715.7,1.63,-380.3,-0.36,97737,0.10
203,Exit long,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,105522.5,1547.5,1.47,1583.5,1.50,-110.1,-0.10,99284.5,0.10
203,Entry long,2025-07-02 01:25,BULL|1671.723|1402.925859196|495.358415|3.3747746064|0.8392095217|1537.324429598|134.398570402|42.8033873518|44.0465914545|-66.3661739704|-155.7648384767|-593.2192848266|-14.1854699421|113.5987675357|5.2043096196|15.5195107744|-1.6323914444|0.0297946353|2.1076293938|0.3331267966|1|0|1|0,105522.5,1,105522.5,1547.5,1.47,1583.5,1.50,-110.1,-0.10,99284.5,0.10
204,Exit short,2025-07-04 06:05,BULL|520.144|265.3795918367|417.120025|1.2469888014|0.5102040816|392.7617959184|127.3822040816|40.7491779516|38.5049976518|-101.6289098184|-211.170003779|-402.6612952167|1.84953644|86.3509988563|-10.2458237442|-20.3612813612|-9.8040920321|-0.1551392038|0.0546217977|0.2998241002|1|0|1|0,108909.5,1,107070,-1839.5,-1.72,53.5,0.05,-3414,-3.19,97445,0.10
204,Entry short,2025-07-02 07:50,BEAR|643.556|-232.0066014494|390.11047|1.6496763084|0.3605072464|205.7746992753|437.7813007247|68.7564324072|68.3015037824|217.5105824679|483.5436821429|842.2727541811|-7.5348279863|90.2245117145|9.7677963423|25.4382283617|11.2185065649|0.2356261935|-0.1192545998|-0.6324813601|0|1|0|1,107070,1,107070,-1839.5,-1.72,53.5,0.05,-3414,-3.19,97445,0.10
205,Exit short,2025-07-04 06:05,BULL|520.144|265.3795918367|417.120025|1.2469888014|0.5102040816|392.7617959184|127.3822040816|40.7491779516|38.5049976518|-101.6289098184|-211.170003779|-402.6612952167|1.84953644|86.3509988563|-10.2458237442|-20.3612813612|-9.8040920321|-0.1551392038|0.0546217977|0.2998241002|1|0|1|0,108909.5,1,107376.5,-1533,-1.43,244.2,0.23,-3107.5,-2.89,95912,0.10
205,Entry short,2025-07-02 08:05,BEAR|463.597|-394.7280164191|378.001365|1.2264426611|0.8514464425|34.4344917905|429.1625082095|63.9524449918|59.295136835|148.8614443786|419.4679705425|811.2929307113|-1.7689477398|91.1908353633|0.8977770362|2.68446476|24.2421344541|0.1495327802|0.3661318537|-0.1446087843|0|1|0|1,107376.5,1,107376.5,-1533,-1.43,244.2,0.23,-3107.5,-2.89,95912,0.10
206,Exit short,2025-07-04 06:05,BULL|520.144|265.3795918367|417.120025|1.2469888014|0.5102040816|392.7617959184|127.3822040816|40.7491779516|38.5049976518|-101.6289098184|-211.170003779|-402.6612952167|1.84953644|86.3509988563|-10.2458237442|-20.3612813612|-9.8040920321|-0.1551392038|0.0546217977|0.2998241002|1|0|1|0,108909.5,1,107335.3,-1574.2,-1.47,203,0.19,-3148.7,-2.93,94337.8,0.09
206,Entry short,2025-07-02 08:15,BEAR|727.739|-366.4872661871|389.563465|1.8680884256|0.5035971223|180.6258669065|547.1131330935|71.9903400655|72.9843418067|367.9681358501|663.4918482401|1090.0772517783|23.2180912438|108.5961794714|3.2339076583|4.6828380243|30.7529192301|0.2769293727|0.2184121172|0.1430898759|0|1|0|1,107335.3,1,107335.3,-1574.2,-1.47,203,0.19,-3148.7,-2.93,94337.8,0.09
207,Exit short,2025-07-04 06:05,BULL|520.144|265.3795918367|417.120025|1.2469888014|0.5102040816|392.7617959184|127.3822040816|40.7491779516|38.5049976518|-101.6289098184|-211.170003779|-402.6612952167|1.84953644|86.3509988563|-10.2458237442|-20.3612813612|-9.8040920321|-0.1551392038|0.0546217977|0.2998241002|1|0|1|0,108909.5,1,107642.5,-1267,-1.18,510.2,0.47,-2841.5,-2.64,93070.8,0.09
207,Entry short,2025-07-02 08:40,BEAR|1993.297|-1348.4608276497|403.15516|4.9442428072|0.6764976959|322.4180861752|1670.8789138248|73.823146943|73.9208333693|366.6169758959|718.7054333148|1236.1782846809|36.841763433|120.27588461|1.8328068775|0.9364915626|13.6236721892|0.1936133677|3.0761543816|0.1729005736|0|1|0|1,107642.5,1,107642.5,-1267,-1.18,510.2,0.47,-2841.5,-2.64,93070.8,0.09
208,Exit short,2025-07-04 06:05,BULL|520.144|265.3795918367|417.120025|1.2469888014|0.5102040816|392.7617959184|127.3822040816|40.7491779516|38.5049976518|-101.6289098184|-211.170003779|-402.6612952167|1.84953644|86.3509988563|-10.2458237442|-20.3612813612|-9.8040920321|-0.1551392038|0.0546217977|0.2998241002|1|0|1|0,108909.5,1,107612.6,-1296.9,-1.21,480.3,0.45,-2871.4,-2.67,91773.9,0.09
