Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
7,Exit short,2025-05-24 23:55,BULL|2260.708|2258.133894677|606.322485|3.7285570895|0.998861372|2259.4209473385|1.2870526615|35.8226403375|36.3363344872|-384.0304123043|-670.8195383241|-874.3335784178|-20.9557342317|231.6481357809|1.1297275151|-0.0251077083|17.3047710207|-0.1173608819|-1.5536655403|0.2546917607|1|0|1|0,107723.8,1,109251.1,1527.3,1.40,1856.4,1.70,-182.3,-0.17,7201.1,0.01
7,Entry short,2025-05-24 11:15,BEAR|1508.561|-528.1979522718|573.524085|2.6303359169|0.3501336388|490.1815238641|1018.3794761359|77.8712565562|82.9915725369|578.9912841406|849.4700118178|820.1024743553|84.3635798671|175.9840204777|-0.2277925318|-6.1571681229|22.379501392|0.2680241415|-3.6438416422|0.1185217452|0|1|0|1,109251.1,1,109251.1,1527.3,1.40,1856.4,1.70,-182.3,-0.17,7201.1,0.01
8,Exit short,2025-05-24 23:55,BULL|2260.708|2258.133894677|606.322485|3.7285570895|0.998861372|2259.4209473385|1.2870526615|35.8226403375|36.3363344872|-384.0304123043|-670.8195383241|-874.3335784178|-20.9557342317|231.6481357809|1.1297275151|-0.0251077083|17.3047710207|-0.1173608819|-1.5536655403|0.2546917607|1|0|1|0,107723.8,1,109199.6,1475.8,1.35,1804.9,1.65,-233.8,-0.21,8676.9,0.01
8,Entry short,2025-05-24 11:20,BEAR|1218.075|-392.4057127883|577.96179|2.1075355172|0.322152341|412.8346436059|805.2403563941|78.7763175726|84.2969338032|572.7193492187|865.1574623347|862.4347880433|78.3060912786|183.8565904436|-3.1291518589|-7.7718617196|-10.20134912|0.0924415094|-1.2634383426|-0.4510760054|0|1|0|1,109199.6,1,109199.6,1475.8,1.35,1804.9,1.65,-233.8,-0.21,8676.9,0.01
9,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107723.8,497.8,0.46,918.2,0.85,-1226.8,-1.14,9174.7,0.01
9,Entry long,2025-05-24 23:55,BULL|2260.708|2258.133894677|606.322485|3.7285570895|0.998861372|2259.4209473385|1.2870526615|35.8226403375|36.3363344872|-384.0304123043|-670.8195383241|-874.3335784178|-20.9557342317|231.6481357809|1.1297275151|-0.0251077083|17.3047710207|-0.1173608819|-1.5536655403|0.2546917607|1|0|1|0,107723.8,1,107723.8,497.8,0.46,918.2,0.85,-1226.8,-1.14,9174.7,0.01
10,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107384.7,836.9,0.78,1257.3,1.17,-887.7,-0.83,10011.6,0.01
10,Entry long,2025-05-25 00:55,BULL|857.102|306.6015794931|621.34641|1.379426977|0.357718894|581.8517897465|275.2502102535|34.5386170627|29.6496439314|-410.8389880328|-703.9651587352|-1056.1410216947|-5.6725813099|233.5648107265|-6.9305137838|-15.0301295059|-28.2096394595|-0.3216576313|0.8695206916|-0.4544876788|1|0|1|0,107384.7,1,107384.7,836.9,0.78,1257.3,1.17,-887.7,-0.83,10011.6,0.01
11,Exit long,2025-05-25 22:20,BEAR|5963.668|-1424.2615590371|529.95668|11.2531235572|0.2388230799|2269.7032204815|3693.9647795185|73.1521983161|80.7440404087|666.089514704|779.0256701573|809.636829515|65.2196101059|215.5158164952|24.9493696133|33.2108834617|99.3930848245|0.7615948561|10.8847115568|-0.6199306293|0|1|0|1,108221.6,1,107406.2,815.4,0.76,1235.8,1.15,-909.2,-0.85,10827,0.01
11,Entry long,2025-05-25 01:10,BULL|1218.427|628.7256761566|630.353395|1.9329268465|0.5160142349|923.5763380783|294.8506619217|37.1039485673|36.5419276191|-283.5319218879|-605.2950581604|-1009.8718896823|-19.4454446878|247.721606839|-6.9589435007|-10.827362359|-59.047321751|-0.3588565538|0.8094081207|-0.1471436599|1|0|1|0,107406.2,1,107406.2,815.4,0.76,1235.8,1.15,-909.2,-0.85,10827,0.01
