Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
19,Entry long,2025-06-27 14:05,L19,106990.1,0.938942,100457.4985,-97.46,-0.10,41.31,0.04,-131.55,-0.13,2464.13,0.25
20,Exit long,2025-07-01 20:20,TP,105519.1,0.951192,100255.0661,113.86,0.11,130.88,0.13,0,0.00,2577.98,0.26
20,Entry long,2025-07-01 20:15,L20,105399.4,0.951192,100255.0661,113.86,0.11,130.88,0.13,0,0.00,2577.98,0.26
21,Exit long,2025-07-04 08:20,TP,108619.2,0.923184,100191.3132,84.19,0.08,94.16,0.09,-66.1,-0.07,2662.18,0.27
21,Entry long,2025-07-04 08:15,L21,108528,0.923184,100191.3132,84.19,0.08,94.16,0.09,-66.1,-0.07,2662.18,0.27
22,Exit long,2025-07-04 16:40,TP,107618.6,0.932853,100193.7295,198.6,0.20,279.3,0.28,-5.22,-0.01,2860.78,0.29
22,Entry long,2025-07-04 16:35,L22,107405.7,0.932853,100193.7295,198.6,0.20,279.3,0.28,-5.22,-0.01,2860.78,0.29
23,Exit long,2025-07-15 13:45,TP,118268,0.846389,100108.1825,-7.45,-0.01,188.74,0.19,-1734.93,-1.73,2853.33,0.29
23,Entry long,2025-07-15 02:15,L23,118276.8,0.846389,100108.1825,-7.45,-0.01,188.74,0.19,-1734.93,-1.73,2853.33,0.29
24,Exit long,2025-07-15 15:15,TP,116118.5,0.863932,100315.2914,3.2,0.00,57.19,0.06,-32.48,-0.03,2856.53,0.29
24,Entry long,2025-07-15 15:10,L24,116114.8,0.863932,100315.2914,3.2,0.00,57.19,0.06,-32.48,-0.03,2856.53,0.29
25,Exit long,2025-07-17 12:50,TP,118169.4,0.852195,100537.279,166.09,0.17,175.13,0.17,-44.91,-0.04,3022.62,0.30
25,Entry long,2025-07-17 12:45,L25,117974.5,0.852195,100537.279,166.09,0.17,175.13,0.17,-44.91,-0.04,3022.62,0.30
26,Exit long,2025-07-25 03:25,TP,115991.7,0.863297,100027.0292,108.26,0.11,331.16,0.33,-0.09,0.00,3130.88,0.31
26,Entry long,2025-07-25 03:20,L26,115866.3,0.863297,100027.0292,108.26,0.11,331.16,0.33,-0.09,0.00,3130.88,0.31
27,Exit long,2025-07-28 15:20,TP,118204.5,0.848381,100215.854,66.6,0.07,138.54,0.14,-191.73,-0.19,3197.48,0.32
27,Entry long,2025-07-28 14:50,L27,118126,0.848381,100215.854,66.6,0.07,138.54,0.14,-191.73,-0.19,3197.48,0.32
28,Exit long,2025-07-30 19:25,TP,116213,0.863151,100301.7714,7.6,0.01,69.92,0.07,-83.73,-0.08,3205.08,0.32
28,Entry long,2025-07-30 19:20,L28,116204.2,0.863151,100301.7714,7.6,0.01,69.92,0.07,-83.73,-0.08,3205.08,0.32
29,Exit long,2025-08-01 08:55,TP,114703.7,0.875845,100432.0951,30.57,0.03,60,0.06,-67.09,-0.07,3235.64,0.32
29,Entry long,2025-08-01 08:50,L29,114668.8,0.875845,100432.0951,30.57,0.03,60,0.06,-67.09,-0.07,3235.64,0.32
30,Exit long,2025-08-01 20:25,TP,113427.7,0.885907,100427.6578,58.74,0.06,202.78,0.20,-39.69,-0.04,3294.38,0.33
