open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1761782400000,109985.60,110120.20,109670.60,110104.60,1873.126,1761783299999,205837676.76360,61718,1166.876,128226535.29840,0
1761783300000,110104.50,110351.70,110055.90,110342.90,1576.512,1761784199999,173757986.30010,52840,926.707,102138242.86790,0
1761784200000,110342.90,110475.70,110198.20,110385.10,1130.809,1761785099999,124793359.18880,43385,625.779,69058677.56840,0
1761785100000,110385.10,110524.60,110312.50,110496.30,840.469,1761785999999,92832345.37270,34038,406.954,44947250.67270,0
1761786000000,110496.30,110574.60,110189.00,110446.10,1265.333,1761786899999,139701349.76220,47203,638.761,70537888.10620,0
1761786900000,110446.10,110544.20,110234.30,110336.10,661.501,1761787799999,73026516.96530,30132,260.183,28719097.66970,0
1761787800000,110336.10,110567.10,110318.00,110567.10,616.301,1761788699999,68085612.90280,31904,362.402,40037464.49850,0
1761788700000,110567.10,110675.00,110341.00,110405.50,1120.279,1761789599999,123824070.77860,38310,406.443,44940365.63920,0
1761789600000,110405.50,110543.40,110251.40,110543.40,1108.954,1761790499999,122393037.73830,32421,483.891,53408854.48320,0
1761790500000,110543.30,110935.30,110543.30,110861.30,1389.680,1761791399999,153929190.17520,41424,814.717,90235037.20360,0
1761791400000,110861.20,110949.10,110851.70,110919.60,856.994,1761792299999,95037433.08560,24844,474.276,52595796.74400,0
1761792300000,110919.50,110957.90,110764.60,110925.80,598.919,1761793199999,66389796.05510,22392,246.658,27343187.07410,0
1761793200000,110925.90,110940.70,110606.10,110721.60,1468.496,1761794099999,162600498.95440,34788,850.992,94216154.34940,0
1761794100000,110721.70,110815.60,110670.70,110731.70,507.883,1761794999999,56240533.50510,23409,236.997,26242705.66800,0
1761795000000,110731.80,110869.40,110650.00,110673.20,867.332,1761795899999,96039912.89990,27531,312.840,34641741.45010,0
1761795900000,110673.20,110804.80,110460.70,110694.50,1170.676,1761796799999,129499433.53670,32094,690.438,76387187.79760,0
1761796800000,110694.40,110694.50,109832.80,109954.30,3364.165,1761797699999,370747860.64980,95570,1289.054,142061979.81860,0
1761797700000,109954.30,110111.80,107817.30,108328.90,11013.507,1761798599999,1198783742.35370,273233,4068.247,442905726.08240,0
1761798600000,108329.00,109414.10,107846.70,108915.80,9665.515,1761799499999,1050689512.45740,293881,5485.457,596466337.49040,0
1761799500000,108915.70,109188.60,108462.60,108503.70,3135.628,1761800399999,341303402.60490,105101,1286.757,140130616.38220,0
1761800400000,108503.70,108974.60,108366.00,108956.10,2824.917,1761801299999,306804236.61670,97574,1501.005,163060401.27790,0
1761801300000,108956.00,109161.80,108735.20,109097.60,1690.598,1761802199999,184160321.51860,62652,928.233,101127851.38570,0
1761802200000,109097.50,109885.40,109053.20,109868.80,3102.468,1761803099999,339738383.97020,91601,1912.274,209425096.71700,0
1761803100000,109868.80,110385.00,109787.90,110199.70,3316.769,1761803999999,365280313.98760,100827,1670.982,184018681.77090,0
1761804000000,110199.70,110250.00,110027.50,110136.30,1478.266,1761804899999,162833794.57550,59251,684.370,75386840.75480,0
1761804900000,110136.30,110199.90,109917.20,110124.20,1462.526,1761805799999,160931936.45720,49639,696.667,76665551.31920,0
1761805800000,110124.20,110881.30,110099.70,110844.90,2395.389,1761806699999,264712498.52710,76515,1530.321,169093243.59040,0
1761806700000,110845.00,110933.00,110708.30,110720.00,2035.020,1761807599999,225481607.76040,54940,721.045,79897901.22350,0
1761807600000,110720.10,111282.60,110601.70,111171.00,2733.872,1761808499999,303427913.56180,67600,1517.372,168450356.64810,0
1761808500000,111171.00,111565.10,111150.00,111236.10,3497.109,1761809399999,389544134.18090,73736,1598.880,178118022.02920,0
1761809400000,111236.00,111340.20,111160.00,111340.20,1354.616,1761810299999,150666047.62550,36192,596.679,66367852.06090,0
1761810300000,111340.20,111396.00,111215.70,111313.50,830.824,1761811199999,92474329.94490,26506,390.513,43464572.73160,0
1761811200000,111313.60,111400.00,110764.10,110790.80,4351.220,1761812099999,483299215.77280,85985,2045.172,227216225.68830,0
1761812100000,110790.80,110910.00,110594.60,110622.00,2362.843,1761812999999,261831227.50510,44022,1266.650,140391590.69250,0
1761813000000,110622.10,110855.30,110622.00,110804.60,1015.151,1761813899999,112432372.80730,28711,586.950,65003270.37350,0
1761813900000,110804.60,110832.70,110625.10,110649.60,785.501,1761814799999,86952879.76860,26971,262.468,29053722.24050,0
1761814800000,110649.60,110749.80,110316.40,110362.80,1719.080,1761815699999,189960450.05690,43174,538.289,59499348.19710,0
