open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764979200000,89288.60,89288.60,88986.10,89069.60,828.524,1764980099999,73824829.84760,21357,355.120,31644227.82350,0
1764980100000,89069.70,89161.40,89015.70,89145.20,727.190,1764980999999,64775592.41110,18603,409.549,36481601.19630,0
1764981000000,89145.10,89441.90,89123.20,89388.00,860.786,1764981899999,76872177.32010,22824,589.091,52605297.87970,0
1764981900000,89388.00,89411.10,89315.60,89382.20,451.058,1764982799999,40309985.94130,13897,296.674,26513294.28170,0
1764982800000,89382.20,89386.00,89255.50,89345.50,515.574,1764983699999,46052600.10840,15901,249.402,22277247.73880,0
1764983700000,89345.50,89468.30,89313.60,89403.10,502.728,1764984599999,44944699.84030,15938,295.771,26442960.53880,0
1764984600000,89403.10,89403.10,89160.90,89220.50,643.074,1764985499999,57389743.29650,19092,339.915,30333304.66230,0
1764985500000,89220.50,89330.30,89180.00,89295.70,352.321,1764986399999,31451158.78800,13729,200.134,17865586.03800,0
1764986400000,89296.20,89296.20,89130.10,89253.20,807.767,1764987299999,72068811.19710,20407,417.271,37228659.77990,0
1764987300000,89253.20,89322.90,89180.40,89236.00,421.349,1764988199999,37599894.85750,17449,235.022,20972780.41060,0
1764988200000,89236.00,89270.10,89159.90,89197.30,263.604,1764989099999,23514380.43750,12120,130.577,11648281.56410,0
1764989100000,89197.30,89374.90,89197.20,89354.60,372.661,1764989999999,33272656.24510,13782,250.966,22407292.63120,0
1764990000000,89354.70,89758.00,89350.20,89720.90,1510.638,1764990899999,135357200.56580,38506,930.187,83345988.92930,0
1764990900000,89720.90,89750.80,89500.50,89508.70,965.615,1764991799999,86575031.98600,21039,334.302,29975107.34120,0
1764991800000,89508.60,89700.00,89480.60,89626.40,545.081,1764992699999,48851448.28080,20792,277.371,24859938.99180,0
1764992700000,89626.50,89700.00,89614.80,89636.50,430.245,1764993599999,38572921.71440,14202,194.769,17461339.30430,0
1764993600000,89636.50,89670.00,89468.40,89532.40,426.143,1764994499999,38170758.89030,14967,183.608,16447394.93400,0
1764994500000,89532.30,89616.20,89500.00,89579.00,558.851,1764995399999,50051984.08760,19589,292.089,26161222.17280,0
1764995400000,89578.90,89618.40,89507.30,89537.30,411.944,1764996299999,36901192.27370,15333,219.369,19650778.49120,0
1764996300000,89537.30,89650.00,89522.10,89612.20,424.135,1764997199999,37997838.56550,13690,171.907,15401744.37860,0
1764997200000,89612.30,89696.70,89612.20,89659.80,274.283,1764998099999,24593396.95680,10480,152.755,13696678.96040,0
1764998100000,89659.70,89659.80,89506.20,89565.60,504.987,1764998999999,45237166.82060,15855,225.606,20209946.66130,0
1764999000000,89565.50,89565.60,89484.20,89500.60,320.521,1764999899999,28691256.63850,10603,134.520,12041380.63710,0
1764999900000,89500.70,89606.70,89495.00,89556.70,271.159,1765000799999,24280713.02180,10095,171.381,15346282.66690,0
1765000800000,89556.70,89640.00,89476.20,89633.30,432.241,1765001699999,38697599.11330,10191,182.515,16341780.40830,0
1765001700000,89633.20,89732.40,89570.00,89700.50,528.939,1765002599999,47423361.61000,11314,345.482,30977991.47330,0
1765002600000,89700.50,89711.60,89600.30,89610.60,258.975,1765003499999,23220762.49700,9512,79.330,7113035.89810,0
1765003500000,89610.60,89659.90,89582.20,89643.10,191.425,1765004399999,17156329.69970,7673,93.442,8375026.47480,0
1765004400000,89643.10,89658.70,89599.10,89638.90,258.607,1765005299999,23179441.22700,9402,97.125,8705353.27320,0
1765005300000,89639.00,89655.80,89523.90,89523.90,323.623,1765006199999,28995099.12920,11511,94.966,8507828.59690,0
1765006200000,89523.90,89618.20,89410.80,89596.00,498.545,1765007099999,44627872.24530,16019,236.208,21147735.68850,0
1765007100000,89596.10,89680.20,89530.60,89549.60,371.449,1765007999999,33280260.61090,12283,199.819,17903540.49660,0
1765008000000,89549.50,89565.80,89500.00,89502.00,290.362,1765008899999,25996388.51520,9880,121.552,10882652.70450,0
1765008900000,89502.00,89608.00,89230.00,89248.00,1283.470,1765009799999,114687562.78390,28439,400.107,35756657.07140,0
1765009800000,89248.10,89389.20,89165.90,89354.80,1280.154,1765010699999,114275754.81510,27062,566.509,50574845.15970,0
1765010700000,89354.70,89366.80,89214.90,89238.30,556.838,1765011599999,49708432.99940,17538,262.178,23404221.60300,0
1765011600000,89238.30,89518.40,89220.60,89474.40,912.534,1765012499999,81570427.88410,22218,540.547,48330154.62550,0
1765012500000,89474.40,89625.00,89451.00,89600.90,736.186,1765013399999,65907876.06120,16218,529.996,47451046.08730,0
1765013400000,89600.80,89639.30,89460.80,89592.80,565.208,1765014299999,50611933.97970,17487,278.802,24965934.26450,0
1765014300000,89592.80,89630.50,89528.80,89532.90,271.624,1765015199999,24332241.20350,11621,117.521,10527989.03850,0
1765015200000,89533.00,89565.60,89454.50,89542.00,430.320,1765016099999,38517196.69150,12666,146.303,13095533.61490,0
1765016100000,89541.90,89650.00,89476.00,89494.00,341.901,1765016999999,30627511.64490,12168,166.284,14895948.08830,0
1765017000000,89494.00,89544.20,89470.00,89537.50,221.543,1765017899999,19830251.94940,9050,109.216,9775926.48970,0
1765017900000,89537.50,89540.00,89421.90,89466.00,294.986,1765018799999,26392461.65040,10102,79.868,7146218.04850,0
1765018800000,89466.00,89540.00,89451.40,89461.50,243.235,1765019699999,21766447.86040,9569,110.911,9926033.87240,0
1765019700000,89461.50,89563.10,89461.50,89530.20,282.693,1765020599999,25307991.55070,10164,131.317,11755560.87650,0
1765020600000,89530.30,89679.00,89516.20,89634.30,557.316,1765021499999,49937078.03870,16662,303.753,27218104.98690,0
1765021500000,89634.40,89676.90,89561.30,89585.40,390.545,1765022399999,35002009.41410,11610,183.956,16486943.29550,0
1765022400000,89585.40,89590.00,89512.90,89530.90,324.320,1765023299999,29041052.87930,10861,159.161,14252293.51040,0
1765023300000,89530.80,89589.90,89520.00,89566.90,221.432,1765024199999,19830502.47550,9334,106.260,9516111.31480,0
1765024200000,89567.00,89600.00,89516.40,89553.70,206.221,1765025099999,18468268.31190,7340,95.354,8539673.45080,0
1765025100000,89553.70,89570.70,89518.80,89528.40,238.692,1765025999999,21372318.39190,7422,95.566,8556946.65730,0
1765026000000,89528.40,89588.00,89528.30,89559.80,285.914,1765026899999,25605143.29040,7950,134.154,12013997.62260,0
