1777161600000000,77625.00000000,77642.43000000,77519.76000000,77550.27000000,157.38787000,1777162499999999,12211782.60770720,10939,30.43706000,2361260.20291280,0
1777162500000000,77550.27000000,77550.27000000,77472.29000000,77472.30000000,88.26311000,1777163399999999,6840290.45637270,6428,14.45884000,1120431.85826190,0
1777163400000000,77472.30000000,77550.87000000,77445.94000000,77545.55000000,26.76428000,1777164299999999,2074084.46333430,6799,17.06731000,1322613.73408710,0
1777164300000000,77545.55000000,77592.84000000,77463.73000000,77502.40000000,35.49713000,1777165199999999,2752038.85207220,9200,15.75017000,1221111.72312730,0
1777165200000000,77502.39000000,77525.52000000,77486.20000000,77506.50000000,35.04633000,1777166099999999,2716364.39081210,6103,21.95992000,1702015.47595350,0
1777166100000000,77506.51000000,77572.81000000,77500.00000000,77506.41000000,27.43101000,1777166999999999,2126711.08345630,6656,10.31991000,800068.14959660,0
1777167000000000,77506.41000000,77555.00000000,77506.41000000,77555.00000000,29.04182000,1777167899999999,2251583.67365560,4292,20.81352000,1613696.47080170,0
1777167900000000,77554.99000000,77554.99000000,77451.16000000,77461.16000000,39.04667000,1777168799999999,3026785.79423160,6766,19.31834000,1497589.87318270,0
1777168800000000,77461.16000000,77569.44000000,77452.07000000,77569.44000000,20.09110000,1777169699999999,1557144.71490910,5784,14.13649000,1095713.59216910,0
1777169700000000,77569.44000000,77590.97000000,77522.23000000,77559.97000000,24.25646000,1777170599999999,1881119.32302310,6893,14.14654000,1097019.12310320,0
1777170600000000,77559.96000000,77584.43000000,77522.23000000,77522.24000000,15.56921000,1777171499999999,1207413.11243770,4576,6.40906000,497028.80914640,0
1777171500000000,77522.24000000,77522.24000000,77478.08000000,77512.67000000,26.00782000,1777172399999999,2015729.59902040,5951,13.55802000,1050819.40869050,0
1777172400000000,77512.67000000,77526.99000000,77483.06000000,77526.98000000,43.15168000,1777173299999999,3344188.46527310,4304,29.29981000,2270691.49295220,0
1777173300000000,77526.99000000,77541.96000000,77425.39000000,77432.65000000,25.49154000,1777174199999999,1975879.56763880,6098,8.04798000,623860.46594610,0
1777174200000000,77432.66000000,77432.66000000,77326.51000000,77380.00000000,48.95904000,1777175099999999,3787910.11147750,15387,16.71483000,1293072.38071940,0
1777175100000000,77380.00000000,77420.39000000,77367.94000000,77400.21000000,29.17185000,1777175999999999,2257674.74684160,6855,14.79148000,1144754.69871350,0
1777176000000000,77400.21000000,77494.52000000,77383.46000000,77476.89000000,26.25250000,1777176899999999,2032735.85642470,8619,14.91508000,1154849.44352450,0
