open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1776643200000,73758.40,74200.00,73669.00,73994.70,5070.933,1776644099999,375050924.82410,91743,2870.516,212392784.57850,0
1776644100000,73994.70,74239.90,73994.60,74186.40,1917.999,1776644999999,142224987.21870,49859,992.569,73601128.53130,0
1776645000000,74186.50,74229.90,74100.00,74130.60,861.802,1776645899999,63912237.73790,26956,442.495,32817621.74280,0
1776645900000,74130.60,74322.90,74120.20,74228.10,1220.829,1776646799999,90640921.04010,33876,694.981,51599336.78920,0
1776646800000,74228.10,74322.00,74190.00,74321.80,956.979,1776647699999,71069708.69410,34462,518.436,38503868.99160,0
1776647700000,74321.80,74328.00,74167.60,74253.20,689.631,1776648599999,51199822.65250,21579,358.661,26628337.73620,0
1776648600000,74253.20,74673.70,74253.20,74637.00,2764.291,1776649499999,205950214.86840,61707,1762.179,131282966.64650,0
1776649500000,74637.00,74697.60,74506.10,74549.40,1063.870,1776650399999,79394864.64740,28797,446.012,33290539.11710,0
1776650400000,74549.50,74588.30,74290.00,74346.40,905.926,1776651299999,67445232.95930,32394,361.345,26903066.30600,0
1776651300000,74346.40,74437.20,74254.90,74404.20,769.997,1776652199999,57257549.99650,27115,362.972,26992146.60540,0
1776652200000,74404.10,74480.00,74359.90,74477.00,683.491,1776653099999,50874691.33040,24112,320.404,23848083.19060,0
1776653100000,74477.00,74477.00,74364.50,74364.50,550.124,1776653999999,40942090.45290,17940,204.442,15216168.89820,0
1776654000000,74364.50,74451.30,74309.80,74451.30,566.875,1776654899999,42153369.93860,17924,290.357,21591172.57320,0
1776654900000,74451.20,74556.30,74353.10,74465.00,1534.279,1776655799999,114233335.60970,31368,883.889,65810203.58330,0
1776655800000,74465.00,74540.20,74411.90,74530.10,528.064,1776656699999,39334822.74490,16709,297.352,22150738.05610,0
1776656700000,74530.00,74600.00,74507.20,74593.90,1148.904,1776657599999,85654890.51610,31373,770.846,57468317.42530,0
