open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1763424000000,92169.80,92335.40,92080.00,92173.20,1302.995,1763424899999,120152361.36820,41088,780.495,71972609.26640,0
1763424900000,92173.20,92260.10,91951.50,91980.00,1065.156,1763425799999,98090928.49460,38257,502.617,46294285.65270,0
1763425800000,91980.00,92032.00,91285.20,91379.30,2657.702,1763426699999,243482042.00910,74824,956.512,87617910.53230,0
1763426700000,91379.40,92163.70,91126.00,92120.20,3598.254,1763427599999,330072355.26170,119175,1788.021,164086543.67760,0
1763427600000,92120.20,92186.10,91857.10,91904.10,1543.219,1763428499999,142035539.03990,66796,698.069,64255852.98910,0
1763428500000,91904.00,92167.30,91609.30,91755.50,2287.130,1763429399999,210183538.09400,66320,1099.616,101064428.05070,0
1763429400000,91755.50,92028.10,91679.80,91869.10,988.798,1763430299999,90816152.58900,45659,534.535,49101450.06370,0
1763430300000,91869.20,91894.50,91567.50,91681.20,1304.755,1763431199999,119620841.10820,41378,644.848,59122328.98510,0
1763431200000,91681.20,91700.10,91103.40,91140.20,3557.783,1763432099999,324856813.97910,93446,1527.115,139473477.38280,0
1763432100000,91140.20,91680.00,90700.00,91643.70,6991.847,1763432999999,636842432.43650,166600,3048.992,277834920.45280,0
1763433000000,91643.80,91720.40,91114.90,91299.00,2517.881,1763433899999,230300869.41280,100594,1265.400,115742713.87160,0
1763433900000,91299.00,91667.80,90640.70,90837.60,3280.861,1763434799999,299046146.35190,100089,1665.816,151972992.80160,0
1763434800000,90837.60,90867.50,90222.00,90359.20,6044.167,1763435699999,546789037.59270,176471,2432.876,220105809.35650,0
1763435700000,90359.10,90519.00,89989.30,89996.90,4615.408,1763436599999,416322495.39550,136246,1721.705,155337855.30620,0
1763436600000,89996.80,90900.00,89666.10,90600.00,9395.725,1763437499999,847402539.41280,258406,4589.333,414138207.00820,0
1763437500000,90600.00,90888.00,90570.00,90811.90,2973.816,1763438399999,269881412.71050,97482,1471.734,133576463.96440,0
1763438400000,90811.80,90842.10,90229.80,90276.20,3381.053,1763439299999,305937385.54050,102982,1460.557,132116571.78550,0
1763439300000,90276.20,90353.10,89867.70,89894.40,4166.135,1763440199999,375051464.90360,133302,1875.287,168828339.11610,0
1763440200000,89894.50,90124.30,89804.90,89818.90,2716.982,1763441099999,244476652.73770,90869,1216.814,109499434.48070,0
1763441100000,89818.80,90158.00,89012.00,90049.40,10328.182,1763441999999,925815448.41820,195978,4771.149,427997239.76780,0
1763442000000,90049.40,90250.00,89676.80,90204.90,2979.978,1763442899999,268260498.11900,100400,1555.485,140038244.42310,0
1763442900000,90204.90,90455.00,90137.20,90155.70,2116.184,1763443799999,191046402.62750,69863,1012.820,91439072.42320,0
1763443800000,90155.70,90353.70,89871.70,89980.00,1803.939,1763444699999,162521118.14580,65291,850.348,76609654.49560,0
1763444700000,89980.00,90326.80,89979.90,90185.90,1404.325,1763445599999,126639339.81490,53934,776.646,70036286.98330,0
1763445600000,90185.80,90197.10,89905.60,90116.50,1167.236,1763446499999,105080926.19950,52943,607.593,54693543.35920,0
1763446500000,90116.50,90142.80,89913.80,90029.90,1082.662,1763447399999,97457242.24480,43243,461.091,41506397.24830,0
1763447400000,90029.90,90079.90,89428.50,89435.80,2560.442,1763448299999,229594530.87140,84375,1075.933,96491580.84880,0
1763448300000,89435.80,89761.70,89333.10,89615.90,2200.797,1763449199999,197000208.95330,76121,1112.627,99612316.09940,0
1763449200000,89615.90,89894.30,89299.70,89838.40,1970.255,1763450099999,176495039.54720,82263,1053.330,94368745.05940,0
1763450100000,89838.40,90149.90,89612.00,90103.10,1998.264,1763450999999,179679662.24370,78669,1036.947,93237037.87620,0
1763451000000,90103.20,90500.50,89968.00,90416.50,3019.800,1763451899999,272719763.86220,94522,1532.761,138439345.52850,0
1763451900000,90416.40,90500.00,90336.20,90459.10,1474.311,1763452799999,133310637.62740,59476,659.280,59616361.63070,0
1763452800000,90459.20,90816.60,90459.10,90755.10,2348.884,1763453699999,212948203.23730,72638,1377.185,124842228.99360,0
1763453700000,90755.10,91152.90,90688.40,90797.80,3233.687,1763454599999,293986791.05070,94785,1727.294,157050368.12400,0
1763454600000,90797.70,91453.50,90762.30,91316.20,3063.916,1763455499999,279447219.59070,92255,1966.082,179329409.82380,0
1763455500000,91316.30,91389.20,91128.30,91179.90,2153.693,1763456399999,196549367.92900,61813,917.915,83766408.64090,0
