open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1760572800000,110699.10,110800.00,110474.00,110482.90,839.737,1760573699999,92895821.01770,37632,424.341,46942859.36960,0
1760573700000,110482.80,110797.00,110437.80,110737.00,719.779,1760574599999,79635943.10910,40039,426.753,47216863.14790,0
1760574600000,110737.00,110737.00,110304.70,110321.20,1064.499,1760575499999,117561183.30840,47075,579.115,63958166.39900,0
1760575500000,110321.10,110507.50,110300.00,110387.20,567.546,1760576399999,62651593.61960,27109,360.059,39747871.51050,0
1760576400000,110387.10,111069.40,110373.80,110955.40,1339.902,1760577299999,148481716.75360,39215,734.920,81411888.76480,0
1760577300000,110955.40,111000.00,110655.30,110843.20,838.710,1760578199999,92950312.85220,36300,434.655,48160906.52180,0
1760578200000,110843.30,111083.70,110755.20,110973.00,751.698,1760579099999,83410600.42570,31681,399.423,44317676.59460,0
1760579100000,110972.90,111290.00,110867.20,111256.80,975.927,1760579999999,108459816.78760,33617,547.253,60813316.16770,0
1760580000000,111256.90,111524.10,110959.00,111283.70,2191.897,1760580899999,243857633.23960,60124,1100.205,122430781.19050,0
1760580900000,111283.70,111421.60,111237.10,111357.70,518.188,1760581799999,57689250.09050,27453,262.719,29248980.15760,0
1760581800000,111357.70,111379.40,111221.70,111287.10,515.918,1760582699999,57417132.40920,25877,223.524,24874754.14120,0
1760582700000,111287.10,111509.60,111250.10,111464.20,701.739,1760583599999,78195370.09940,25025,364.633,40627838.99610,0
1760583600000,111464.20,111566.00,111359.10,111450.00,882.225,1760584499999,98347169.74130,26464,428.123,47727411.85170,0
1760584500000,111450.00,111827.50,111384.00,111674.70,1278.400,1760585399999,142736861.26000,37419,791.408,88365507.16190,0
1760585400000,111674.60,111674.70,111344.20,111521.50,1023.294,1760586299999,114096357.46410,32024,430.051,47951113.59460,0
1760586300000,111521.40,111576.70,111200.00,111277.40,983.259,1760587199999,109517783.02610,29873,388.267,43265331.36090,0
1760587200000,111277.50,111599.60,111257.40,111541.20,830.000,1760588099999,92491059.52660,26261,541.943,60400048.40320,0
1760588100000,111541.20,111626.00,111471.10,111493.20,476.371,1760588999999,53139579.23160,14929,259.059,28898353.50580,0
1760589000000,111493.20,111533.00,110860.00,110935.70,1343.535,1760589899999,149342006.64520,37858,372.775,41422884.81750,0
1760589900000,110935.60,111067.40,110737.00,110918.40,1315.476,1760590799999,145893792.69060,36342,677.500,75138153.23960,0
1760590800000,110918.40,111113.70,110845.70,111060.60,701.315,1760591699999,77826600.42600,28102,421.640,46791886.06790,0
1760591700000,111060.60,111107.20,110895.50,110998.70,750.832,1760592599999,83352097.96670,27915,281.119,31204426.75430,0
1760592600000,110998.70,111436.00,110998.60,111293.90,1320.795,1760593499999,146946619.78530,42926,733.734,81617254.20140,0
1760593500000,111294.00,111307.90,110666.00,110881.80,1118.616,1760594399999,124024727.51790,36500,582.127,64528801.60040,0
1760594400000,110881.80,111139.40,110874.00,110874.00,972.109,1760595299999,107876054.83890,34575,510.118,56615200.49370,0
1760595300000,110874.00,111259.30,110845.00,111253.40,723.148,1760596199999,80298656.21870,31273,431.064,47873060.02440,0
1760596200000,111253.40,111483.20,111245.10,111287.70,1185.231,1760597099999,131984907.33080,39147,557.809,62115777.31840,0
1760597100000,111287.60,111693.40,111287.60,111603.90,1340.162,1760597999999,149491559.69070,45247,719.185,80226202.48900,0
1760598000000,111604.00,111711.40,111249.20,111337.50,1442.645,1760598899999,160810197.14210,38333,513.902,57287980.97230,0
1760598900000,111337.50,111337.50,110650.00,110700.00,2617.184,1760599799999,290270611.37070,58673,1138.328,126214240.43460,0
1760599800000,110700.10,110875.40,110654.00,110845.70,1479.377,1760600699999,163861877.83240,39394,869.528,96319598.47140,0
1760600700000,110845.70,110845.70,110488.00,110518.20,2310.495,1760601599999,255593076.38000,52843,990.409,109584479.08580,0
1760601600000,110518.20,110610.10,110330.40,110599.90,1687.934,1760602499999,186476960.77150,48256,723.272,79915148.32560,0
1760602500000,110600.00,110688.10,110432.40,110488.70,675.227,1760603399999,74657976.58720,25623,401.065,44351374.91510,0
1760603400000,110488.70,110826.50,110435.90,110660.30,1188.988,1760604299999,131511319.62600,37458,809.936,89595783.86600,0
1760604300000,110660.30,110849.90,110625.00,110760.80,958.490,1760605199999,106160396.60330,29265,620.184,68689484.02880,0
1760605200000,110760.70,110918.60,110681.40,110788.00,810.452,1760606099999,89807509.23540,28614,381.479,42271253.85170,0
1760606100000,110787.90,110884.90,110615.00,110615.10,596.999,1760606999999,66127166.07230,26421,352.083,38999884.40070,0
1760607000000,110615.00,111457.40,109403.50,111191.90,12019.309,1760607899999,1323808487.22860,197026,5899.674,649870299.99510,0
