open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1763856000000,84689.40,85148.10,84622.00,85147.30,2182.267,1763856899999,185400342.46030,50733,1590.911,135158687.19390,0
1763856900000,85147.30,85286.80,84958.50,85029.50,1521.302,1763857799999,129525778.46310,49057,670.088,57062170.14990,0
1763857800000,85029.40,85118.70,84854.40,84958.70,739.893,1763858699999,62878213.81020,33227,353.817,30070135.60600,0
1763858700000,84958.80,85092.20,84847.50,84929.10,487.657,1763859599999,41421836.90530,24307,234.979,19959636.87600,0
1763859600000,84929.20,85300.00,84910.80,85292.90,1032.092,1763860499999,87912524.46070,31346,638.482,54389254.34790,0
1763860500000,85292.90,85584.20,85242.40,85484.80,1683.351,1763861399999,143796997.56960,48949,974.887,83289399.80360,0
1763861400000,85484.80,85892.50,85404.80,85837.40,2341.147,1763862299999,200566269.22460,59792,1420.195,121691559.18820,0
1763862300000,85837.40,86200.00,85673.00,85837.50,2715.398,1763863199999,233195003.22000,76016,1597.053,137199403.25660,0
1763863200000,85837.50,86050.00,85629.30,85777.20,2100.958,1763864099999,180293515.71920,67746,910.922,78179206.18260,0
1763864100000,85777.30,86162.30,85681.90,85994.60,1482.913,1763864999999,127439506.56880,50261,827.160,71091134.48740,0
1763865000000,85994.80,86300.00,85978.40,86119.90,2364.142,1763865899999,203699856.89390,65029,1220.710,105186882.27230,0
1763865900000,86120.00,86248.40,85912.60,85948.40,1642.720,1763866799999,141418029.72360,47433,632.936,54496284.37200,0
1763866800000,85948.50,86050.00,85777.70,85837.50,1238.485,1763867699999,106384383.03750,43528,582.986,50082511.21540,0
1763867700000,85837.40,85910.80,85764.10,85898.90,899.467,1763868599999,77207660.19650,37715,514.933,44201352.49780,0
1763868600000,85898.80,86116.10,85845.20,86039.30,789.594,1763869499999,67896372.98670,33824,418.955,36026157.97710,0
1763869500000,86039.30,86261.00,85958.50,86261.00,978.711,1763870399999,84293791.89970,29564,628.316,54120964.93310,0
