open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1764201600000,90438.00,90500.10,90049.40,90122.80,1959.623,1764202499999,176923705.39180,44482,717.263,64750280.24400,0
1764202500000,90122.90,90208.80,90024.40,90157.70,1593.089,1764203399999,143560884.12590,31545,807.790,72792612.65740,0
1764203400000,90157.70,90338.10,90157.60,90301.70,661.183,1764204299999,59679044.52120,19487,357.580,32275445.46220,0
1764204300000,90301.80,90533.00,90291.80,90426.60,1242.322,1764205199999,112366800.40450,32524,630.944,57066225.03210,0
1764205200000,90426.50,90965.60,90324.00,90630.80,3157.742,1764206099999,286345266.95710,66987,1823.164,165372206.03630,0
1764206100000,90630.90,90775.20,90545.00,90664.50,1113.668,1764206999999,100963762.10330,33009,586.520,53175655.60080,0
1764207000000,90664.50,90688.00,90541.10,90663.30,495.192,1764207899999,44875940.05450,18787,208.664,18910084.03990,0
1764207900000,90663.20,91195.10,90589.30,91094.80,3945.421,1764208799999,358918681.80150,53410,2583.666,235101345.14510,0
1764208800000,91094.70,91180.60,90832.20,90984.30,2172.006,1764209699999,197614192.88470,51444,1007.078,91622940.70900,0
1764209700000,90984.30,91431.90,90960.80,91425.70,2738.327,1764210599999,249757388.37660,60087,1636.994,149333338.67760,0
1764210600000,91425.70,91794.60,91300.70,91756.00,3834.273,1764211499999,350889771.97680,83984,2242.419,205232589.56870,0
1764211500000,91756.00,91850.00,91276.90,91335.40,4124.011,1764212399999,377882963.34670,102480,1933.434,177214668.84900,0
1764212400000,91335.30,91557.00,91238.20,91311.90,1590.877,1764213299999,145355537.70440,46138,759.493,69411408.33930,0
1764213300000,91311.90,91555.10,91261.30,91286.80,1212.433,1764214199999,110812648.83100,33874,569.846,52080163.71010,0
1764214200000,91286.80,91286.90,91046.60,91115.80,1840.673,1764215099999,167754738.33580,48539,813.426,74132441.73920,0
1764215100000,91115.70,91188.80,91000.00,91049.30,1065.087,1764215999999,97005489.70050,30310,483.843,44069207.77880,0
1764216000000,91049.30,91314.80,91013.10,91248.00,1193.139,1764216899999,108803100.23130,33307,658.257,60031713.00560,0
1764216900000,91247.90,91312.20,91069.60,91083.90,774.468,1764217799999,70644705.65740,26728,407.537,37174100.85410,0
1764217800000,91083.90,91260.90,91024.80,91117.00,589.912,1764218699999,53753798.49830,26040,268.094,24430501.81010,0
1764218700000,91117.10,91272.40,91117.00,91233.00,373.396,1764219599999,34055832.03200,16140,200.200,18260239.62100,0
1764219600000,91232.90,91297.50,91107.50,91260.00,523.742,1764220499999,47765643.58710,23103,290.504,26495301.65080,0
1764220500000,91259.90,91520.00,91192.50,91447.30,1666.570,1764221399999,152321616.74770,41913,1012.846,92568051.38540,0
1764221400000,91447.20,91447.20,90843.80,90927.10,2373.914,1764222299999,216201518.93640,52133,820.776,74749456.75890,0
1764222300000,90927.10,91048.80,90880.00,90932.00,1371.333,1764223199999,124725673.08820,31496,626.372,56972212.77070,0
1764223200000,90932.00,91233.90,90928.80,91233.80,870.845,1764224099999,79334532.10840,25655,568.816,51825537.16250,0
1764224100000,91233.80,91369.00,91167.50,91336.50,748.574,1764224999999,68325217.51900,23829,398.388,36361400.68440,0
1764225000000,91336.40,91399.30,91213.60,91283.40,603.118,1764225899999,55072362.21000,19606,252.794,23084955.01320,0
1764225900000,91283.40,91326.00,91137.90,91198.60,723.371,1764226799999,65982019.69990,18617,324.673,29613301.46950,0
1764226800000,91198.60,91286.90,91091.60,91235.60,542.244,1764227699999,49448224.67910,20686,283.097,25817627.57070,0
1764227700000,91235.70,91419.00,91200.00,91386.80,584.929,1764228599999,53422742.94760,20184,300.059,27405901.41610,0
1764228600000,91386.90,91406.10,91304.20,91322.70,553.856,1764229499999,50595759.64450,20974,180.311,16472298.92830,0
1764229500000,91322.70,91461.90,91286.10,91361.50,683.989,1764230399999,62500734.43010,19569,283.181,25877116.78310,0
1764230400000,91361.40,91470.00,91177.20,91204.40,898.964,1764231299999,82083101.74720,23731,355.157,32430446.07130,0
1764231300000,91204.50,91342.00,91204.40,91318.20,676.605,1764232199999,61752454.78320,15832,318.330,29052406.04390,0
1764232200000,91318.20,91404.00,91237.00,91349.30,623.443,1764233099999,56937514.69300,18536,338.223,30888145.97260,0
1764233100000,91349.30,91477.10,91331.60,91440.20,847.414,1764233999999,77470035.74610,18917,462.652,42293627.19030,0
1764234000000,91440.30,91495.80,91440.00,91463.30,1307.828,1764234899999,119604783.09420,16187,393.929,36029013.40440,0
1764234900000,91463.30,91739.50,91463.30,91562.40,2493.032,1764235799999,228447862.86110,44285,1405.544,128774348.94660,0
1764235800000,91562.50,91931.90,91562.40,91749.90,2196.146,1764236699999,201550575.46610,42758,1260.318,115661760.02360,0
1764236700000,91749.90,91758.40,91500.00,91523.60,1685.233,1764237599999,154382535.57740,31463,515.777,47241635.30740,0
1764237600000,91523.70,91663.10,91500.10,91542.40,962.762,1764238499999,88158440.47030,21109,452.631,41447240.90110,0
1764238500000,91542.40,91704.00,91540.00,91608.80,523.126,1764239399999,47936366.84280,16034,248.235,22747901.80560,0
1764239400000,91608.70,91619.10,91299.00,91553.10,2411.645,1764240299999,220424858.32960,36639,725.135,66273409.59800,0
1764240300000,91553.10,91642.60,91440.00,91566.00,793.666,1764241199999,72643535.73480,21457,397.639,36396634.61650,0
