open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1762732800000,104670.70,105032.10,104205.90,104977.40,2178.345,1762733699999,227832948.33310,77361,912.316,95439037.67500,0
1762733700000,104977.40,105678.80,104879.60,105448.30,3103.420,1762734599999,327086139.21660,102348,1677.204,176780552.76850,0
1762734600000,105448.30,105998.00,105417.60,105995.90,3834.025,1762735499999,405424259.88100,98715,2373.621,250949849.35480,0
1762735500000,105996.00,106484.80,105900.00,106268.00,4993.454,1762736399999,530465938.61460,127623,2637.763,280185281.23310,0
1762736400000,106267.90,106666.00,106080.00,106263.50,3987.432,1762737299999,424071369.76600,111137,1828.347,194506538.59240,0
1762737300000,106263.60,106365.70,105944.90,106020.50,2869.925,1762738199999,304596089.90610,82963,1024.223,108714095.91610,0
1762738200000,106020.50,106123.10,105707.40,105773.20,1814.833,1762739099999,192113036.02750,64914,785.928,83203028.74920,0
1762739100000,105773.10,106092.40,105681.60,105683.00,1508.724,1762739999999,159725776.57440,55159,830.200,87911310.34700,0
1762740000000,105683.00,105814.80,105558.40,105799.10,1417.572,1762740899999,149787433.97800,49091,843.351,89118544.15580,0
1762740900000,105799.10,105950.90,105705.00,105732.10,1090.562,1762741799999,115415381.19950,40184,563.555,59642106.46040,0
1762741800000,105732.20,105915.80,105622.60,105644.70,860.459,1762742699999,91001047.95130,35628,314.070,33219061.32670,0
1762742700000,105644.60,106025.60,105618.00,105965.90,790.606,1762743599999,83671161.01380,32287,466.093,49327673.88480,0
1762743600000,105966.00,106257.50,105797.70,105849.20,1537.302,1762744499999,163060742.58330,55632,770.954,81775656.92730,0
1762744500000,105849.20,106012.40,105800.00,105914.60,691.553,1762745399999,73238810.76670,30240,352.604,37343896.88520,0
1762745400000,105914.50,106193.00,105826.40,106144.80,1238.951,1762746299999,131347986.44820,41915,644.842,68373851.85320,0
1762746300000,106144.80,106182.60,105906.80,105990.60,1015.959,1762747199999,107715625.58110,42052,478.835,50764666.81780,0
1762747200000,105990.60,106270.60,105990.60,106100.00,1011.674,1762748099999,107358741.56630,40216,483.417,51298999.82560,0
1762748100000,106099.90,106100.00,105827.80,105902.00,1006.298,1762748999999,106605019.69580,35648,418.253,44309572.91290,0
1762749000000,105902.00,105936.30,105800.00,105872.30,448.542,1762749899999,47483413.93780,23224,196.371,20788316.59800,0
1762749900000,105872.40,106237.60,105823.90,106115.90,988.983,1762750799999,104922815.27090,32145,547.632,58085508.14990,0
